Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(à),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(à),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W44X335,W44X335,F,335.0000,98.5000,44.0000,44.0000,0.0000,0.0000,0.0000,15.9000,16.0000,0.0000,0.0000,0.0000,1.0300,1.0000,0.5000,1.7700,1.7500,0.0000,0.0000,0.0000,2.5600,3.0000,1.7500,0.0000,0.0000,0.0000,0.0000,0.0000,4.5000,0.0000,0.0000,38.0000,0.0000,0.0000,31100.0000,1620.0000,1410.0000,17.8000,1200.0000,236.0000,150.0000,3.4900,0.0000,0.0000,0.0000,74.7000,535000.0000,0.0000,168.0000,1180.0000,0.0000,0.0000,278.0000,805.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.2400,42.2000,132.0000,0.0000,148.0000,104.0000,120.0000,38.0000,5.5000,0.0000,W1100X499,W1100X499,499.0000,63500.0000,1120.0000,1120.0000,0.0000,0.0000,0.0000,404.0000,406.0000,0.0000,0.0000,0.0000,26.2000,25.4000,12.7000,45.0000,44.4000,0.0000,0.0000,0.0000,65.0000,76.2000,44.5000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5000,0.0000,0.0000,38.0000,0.0000,0.0000,12900.0000,26500.0000,23100.0000,452.0000,499.0000,3870.0000,2460.0000,88.6000,0.0000,0.0000,0.0000,31100.0000,144000.0000,0.0000,108000.0000,491.0000,0.0000,0.0000,4560.0000,13200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,108.0000,1070.0000,3350.0000,0.0000,3760.0000,2640.0000,3050.0000,965.0000,140.0000,0.0000
W,W44X290,W44X290,F,290.0000,85.4000,43.6000,43.6250,0.0000,0.0000,0.0000,15.8000,15.8750,0.0000,0.0000,0.0000,0.8650,0.8750,0.4375,1.5800,1.5625,0.0000,0.0000,0.0000,2.3600,2.8125,1.6250,0.0000,0.0000,0.0000,0.0000,0.0000,5.0200,0.0000,0.0000,45.0000,0.0000,0.0000,27000.0000,1410.0000,1240.0000,17.8000,1040.0000,205.0000,132.0000,3.4900,0.0000,0.0000,0.0000,50.9000,461000.0000,0.0000,166.0000,1040.0000,0.0000,0.0000,248.0000,701.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.2000,42.0000,131.0000,0.0000,147.0000,103.0000,119.0000,38.0000,5.5000,0.0000,W1100X433,W1100X433,433.0000,55100.0000,1110.0000,1110.0000,0.0000,0.0000,0.0000,401.0000,403.0000,0.0000,0.0000,0.0000,22.0000,22.2000,11.1000,40.1000,39.7000,0.0000,0.0000,0.0000,59.9000,71.4000,41.3000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0200,0.0000,0.0000,45.0000,0.0000,0.0000,11200.0000,23100.0000,20300.0000,452.0000,433.0000,3360.0000,2160.0000,88.6000,0.0000,0.0000,0.0000,21200.0000,124000.0000,0.0000,107000.0000,433.0000,0.0000,0.0000,4060.0000,11500.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107.0000,1070.0000,3330.0000,0.0000,3730.0000,2620.0000,3020.0000,965.0000,140.0000,0.0000
W,W44X262,W44X262,F,262.0000,77.2000,43.3000,43.2500,0.0000,0.0000,0.0000,15.8000,15.7500,0.0000,0.0000,0.0000,0.7850,0.8125,0.4375,1.4200,1.4375,0.0000,0.0000,0.0000,2.2000,2.6250,1.6250,0.0000,0.0000,0.0000,0.0000,0.0000,5.5700,0.0000,0.0000,49.6000,0.0000,0.0000,24100.0000,1270.0000,1110.0000,17.7000,923.0000,182.0000,117.0000,3.4700,0.0000,0.0000,0.0000,37.3000,405000.0000,0.0000,165.0000,928.0000,0.0000,0.0000,223.0000,630.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1700,41.9000,131.0000,0.0000,147.0000,102.0000,118.0000,38.0000,5.5000,0.0000,W1100X390,W1100X390,390.0000,49800.0000,1100.0000,1100.0000,0.0000,0.0000,0.0000,401.0000,400.0000,0.0000,0.0000,0.0000,19.9000,20.6000,11.1000,36.1000,36.5000,0.0000,0.0000,0.0000,55.9000,66.7000,41.3000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5700,0.0000,0.0000,49.6000,0.0000,0.0000,10000.0000,20800.0000,18200.0000,450.0000,384.0000,2980.0000,1920.0000,88.1000,0.0000,0.0000,0.0000,15500.0000,109000.0000,0.0000,106000.0000,386.0000,0.0000,0.0000,3650.0000,10300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.0000,1060.0000,3330.0000,0.0000,3730.0000,2590.0000,3000.0000,965.0000,140.0000,0.0000
W,W44X230,W44X230,F,230.0000,67.8000,42.9000,42.8750,0.0000,0.0000,0.0000,15.8000,15.7500,0.0000,0.0000,0.0000,0.7100,0.6875,0.3750,1.2200,1.2500,0.0000,0.0000,0.0000,2.0100,2.4375,1.5625,0.0000,0.0000,0.0000,0.0000,0.0000,6.4500,0.0000,0.0000,54.8000,0.0000,0.0000,20800.0000,1100.0000,971.0000,17.5000,796.0000,157.0000,101.0000,3.4300,0.0000,0.0000,0.0000,24.9000,346000.0000,0.0000,165.0000,793.0000,0.0000,0.0000,192.0000,547.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1300,41.7000,130.0000,0.0000,146.0000,102.0000,118.0000,38.0000,5.5000,0.0000,W1100X343,W1100X343,343.0000,43700.0000,1090.0000,1090.0000,0.0000,0.0000,0.0000,401.0000,400.0000,0.0000,0.0000,0.0000,18.0000,17.5000,9.5200,31.0000,31.8000,0.0000,0.0000,0.0000,51.1000,61.9000,39.7000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4500,0.0000,0.0000,54.8000,0.0000,0.0000,8660.0000,18000.0000,15900.0000,445.0000,331.0000,2570.0000,1660.0000,87.1000,0.0000,0.0000,0.0000,10400.0000,92900.0000,0.0000,106000.0000,330.0000,0.0000,0.0000,3150.0000,8960.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,105.0000,1060.0000,3300.0000,0.0000,3710.0000,2590.0000,3000.0000,965.0000,140.0000,0.0000
W,W40X655,W40X655,T,655.0000,193.0000,43.6000,43.6250,0.0000,0.0000,0.0000,16.9000,16.8750,0.0000,0.0000,0.0000,1.9700,2.0000,1.0000,3.5400,3.5625,0.0000,0.0000,0.0000,4.7200,4.8125,2.1875,0.0000,0.0000,0.0000,0.0000,0.0000,2.3900,0.0000,0.0000,17.3000,0.0000,0.0000,56500.0000,3080.0000,2590.0000,17.1000,2870.0000,542.0000,340.0000,3.8600,0.0000,0.0000,0.0000,589.0000,1150000.0000,0.0000,169.0000,2530.0000,0.0000,0.0000,529.0000,1530.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7100,40.1000,132.0000,0.0000,149.0000,104.0000,121.0000,34.0000,7.5000,0.0000,W1000X976,W1000X976,975.0000,125000.0000,1110.0000,1110.0000,0.0000,0.0000,0.0000,429.0000,429.0000,0.0000,0.0000,0.0000,50.0000,50.8000,25.4000,89.9000,90.5000,0.0000,0.0000,0.0000,120.0000,122.0000,55.6000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3900,0.0000,0.0000,17.3000,0.0000,0.0000,23500.0000,50500.0000,42500.0000,434.0000,1190.0000,8880.0000,5570.0000,98.0000,0.0000,0.0000,0.0000,245000.0000,309000.0000,0.0000,109000.0000,1050.0000,0.0000,0.0000,8670.0000,25100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,1020.0000,3350.0000,0.0000,3780.0000,2640.0000,3070.0000,864.0000,191.0000,0.0000
W,W40X593,W40X593,T,593.0000,174.0000,43.0000,43.0000,0.0000,0.0000,0.0000,16.7000,16.7500,0.0000,0.0000,0.0000,1.7900,1.8125,0.9375,3.2300,3.2500,0.0000,0.0000,0.0000,4.4100,4.5000,2.1250,0.0000,0.0000,0.0000,0.0000,0.0000,2.5800,0.0000,0.0000,19.1000,0.0000,0.0000,50400.0000,2760.0000,2340.0000,17.0000,2520.0000,481.0000,302.0000,3.8000,0.0000,0.0000,0.0000,445.0000,997000.0000,0.0000,166.0000,2240.0000,0.0000,0.0000,479.0000,1370.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6300,39.8000,130.0000,0.0000,147.0000,103.0000,120.0000,34.0000,7.5000,0.0000,W1000X883,W1000X883,883.0000,112000.0000,1090.0000,1090.0000,0.0000,0.0000,0.0000,424.0000,425.0000,0.0000,0.0000,0.0000,45.5000,46.0000,23.8000,82.0000,82.6000,0.0000,0.0000,0.0000,112.0000,114.0000,54.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5800,0.0000,0.0000,19.1000,0.0000,0.0000,21000.0000,45200.0000,38300.0000,432.0000,1050.0000,7880.0000,4950.0000,96.5000,0.0000,0.0000,0.0000,185000.0000,268000.0000,0.0000,107000.0000,932.0000,0.0000,0.0000,7850.0000,22500.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.0000,1010.0000,3300.0000,0.0000,3730.0000,2620.0000,3050.0000,864.0000,191.0000,0.0000
W,W40X503,W40X503,T,503.0000,148.0000,42.1000,42.0000,0.0000,0.0000,0.0000,16.4000,16.3750,0.0000,0.0000,0.0000,1.5400,1.5625,0.8125,2.7600,2.7500,0.0000,0.0000,0.0000,3.9400,4.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9800,0.0000,0.0000,22.3000,0.0000,0.0000,41600.0000,2320.0000,1980.0000,16.8000,2040.0000,394.0000,249.0000,3.7200,0.0000,0.0000,0.0000,277.0000,789000.0000,0.0000,161.0000,1830.0000,0.0000,0.0000,403.0000,1150.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5000,39.3000,129.0000,0.0000,145.0000,101.0000,117.0000,34.0000,7.5000,0.0000,W1000X748,W1000X748,748.0000,95500.0000,1070.0000,1070.0000,0.0000,0.0000,0.0000,417.0000,416.0000,0.0000,0.0000,0.0000,39.1000,39.7000,20.6000,70.1000,69.8000,0.0000,0.0000,0.0000,100.0000,102.0000,50.8000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9800,0.0000,0.0000,22.3000,0.0000,0.0000,17300.0000,38000.0000,32400.0000,427.0000,849.0000,6460.0000,4080.0000,94.5000,0.0000,0.0000,0.0000,115000.0000,212000.0000,0.0000,104000.0000,762.0000,0.0000,0.0000,6600.0000,18800.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,114.0000,998.0000,3280.0000,0.0000,3680.0000,2570.0000,2970.0000,864.0000,191.0000,0.0000
W,W40X431,W40X431,T,431.0000,127.0000,41.3000,41.2500,0.0000,0.0000,0.0000,16.2000,16.2500,0.0000,0.0000,0.0000,1.3400,1.3125,0.6875,2.3600,2.3750,0.0000,0.0000,0.0000,3.5400,3.6250,1.8750,0.0000,0.0000,0.0000,0.0000,0.0000,3.4400,0.0000,0.0000,25.5000,0.0000,0.0000,34800.0000,1960.0000,1690.0000,16.6000,1690.0000,328.0000,208.0000,3.6500,0.0000,0.0000,0.0000,177.0000,638000.0000,0.0000,158.0000,1510.0000,0.0000,0.0000,341.0000,969.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4100,38.9000,127.0000,0.0000,143.0000,98.8000,115.0000,34.0000,7.5000,0.0000,W1000X642,W1000X642,642.0000,81900.0000,1050.0000,1050.0000,0.0000,0.0000,0.0000,411.0000,413.0000,0.0000,0.0000,0.0000,34.0000,33.3000,17.5000,59.9000,60.3000,0.0000,0.0000,0.0000,89.9000,92.1000,47.6000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4400,0.0000,0.0000,25.5000,0.0000,0.0000,14500.0000,32100.0000,27700.0000,422.0000,703.0000,5370.0000,3410.0000,92.7000,0.0000,0.0000,0.0000,73700.0000,171000.0000,0.0000,102000.0000,629.0000,0.0000,0.0000,5590.0000,15900.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,112.0000,988.0000,3230.0000,0.0000,3630.0000,2510.0000,2920.0000,864.0000,191.0000,0.0000
W,W40X397,W40X397,T,397.0000,117.0000,41.0000,41.0000,0.0000,0.0000,0.0000,16.1000,16.1250,0.0000,0.0000,0.0000,1.2200,1.2500,0.6250,2.2000,2.1875,0.0000,0.0000,0.0000,3.3800,3.5000,1.8125,0.0000,0.0000,0.0000,0.0000,0.0000,3.6600,0.0000,0.0000,28.0000,0.0000,0.0000,32000.0000,1800.0000,1560.0000,16.6000,1540.0000,300.0000,191.0000,3.6400,0.0000,0.0000,0.0000,142.0000,579000.0000,0.0000,156.0000,1380.0000,0.0000,0.0000,318.0000,891.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3800,38.8000,126.0000,0.0000,142.0000,98.1000,114.0000,34.0000,7.5000,0.0000,W1000X591,W1000X591,591.0000,75500.0000,1040.0000,1040.0000,0.0000,0.0000,0.0000,409.0000,410.0000,0.0000,0.0000,0.0000,31.0000,31.8000,15.9000,55.9000,55.6000,0.0000,0.0000,0.0000,85.9000,88.9000,46.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6600,0.0000,0.0000,28.0000,0.0000,0.0000,13300.0000,29500.0000,25600.0000,422.0000,641.0000,4920.0000,3130.0000,92.5000,0.0000,0.0000,0.0000,59100.0000,155000.0000,0.0000,101000.0000,574.0000,0.0000,0.0000,5210.0000,14600.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,111.0000,986.0000,3200.0000,0.0000,3610.0000,2490.0000,2900.0000,864.0000,191.0000,0.0000
W,W40X372,W40X372,T,372.0000,110.0000,40.6000,40.6250,0.0000,0.0000,0.0000,16.1000,16.1250,0.0000,0.0000,0.0000,1.1600,1.1875,0.6250,2.0500,2.0625,0.0000,0.0000,0.0000,3.2300,3.3125,1.8125,0.0000,0.0000,0.0000,0.0000,0.0000,3.9300,0.0000,0.0000,29.5000,0.0000,0.0000,29600.0000,1680.0000,1460.0000,16.5000,1420.0000,277.0000,177.0000,3.6000,0.0000,0.0000,0.0000,116.0000,528000.0000,0.0000,155.0000,1280.0000,0.0000,0.0000,295.0000,829.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3300,38.6000,125.0000,0.0000,141.0000,97.3000,113.0000,34.0000,7.5000,0.0000,W1000X554,W1000X554,554.0000,71000.0000,1030.0000,1030.0000,0.0000,0.0000,0.0000,409.0000,410.0000,0.0000,0.0000,0.0000,29.5000,30.2000,15.9000,52.1000,52.4000,0.0000,0.0000,0.0000,82.0000,84.1000,46.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9300,0.0000,0.0000,29.5000,0.0000,0.0000,12300.0000,27500.0000,23900.0000,419.0000,591.0000,4540.0000,2900.0000,91.4000,0.0000,0.0000,0.0000,48300.0000,142000.0000,0.0000,100000.0000,533.0000,0.0000,0.0000,4830.0000,13600.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,110.0000,980.0000,3180.0000,0.0000,3580.0000,2470.0000,2870.0000,864.0000,191.0000,0.0000
